epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5183,4.18386,16.2086,2.73617,0,0,0,0,3.98299,11.2559,3.45018,2e-05,2e-05,2e-05
2,94.2072,3.76739,11.5613,2.854,0.00111,0.33333,0.00078,0.00011,3.88335,8.07701,3.47166,5.8812e-05,5.8812e-05,5.8812e-05
3,132.305,3.62328,7.43213,2.63272,0.00111,0.33333,0.00075,0.00034,2.92903,11.4451,3.13475,9.604e-05,9.604e-05,9.604e-05
4,169.265,3.66432,6.43475,2.68516,0.00056,0.16667,0.00077,0.00023,4.15538,28.7108,3.83933,0.000131684,0.000131684,0.000131684
5,207.265,3.38529,6.67369,2.59075,0.00056,0.16667,0.00047,0.00018,3.9917,16.8826,3.97437,0.000165744,0.000165744,0.000165744
6,244.443,3.50816,5.68969,2.45829,0.00056,0.16667,0.00047,0.00018,4.15203,9.48646,4.08242,0.00019822,0.00019822,0.00019822
7,280.667,2.998,4.36073,2.05859,0.00056,0.16667,0.00047,0.00018,4.34777,6.9062,3.70723,0.000229112,0.000229112,0.000229112
8,318.51,3.65994,5.36357,2.15757,0.00056,0.16667,0.00034,7e-05,4.33458,10.5032,3.52971,0.00025842,0.00025842,0.00025842
9,355.623,2.84894,4.38906,1.90589,0.00056,0.16667,0.00034,3e-05,4.41275,18.5636,3.75075,0.000286144,0.000286144,0.000286144
10,392.318,2.93559,4.5551,2.14556,0.00056,0.16667,0.00049,5e-05,4.2617,9.99716,3.50981,0.000312284,0.000312284,0.000312284
11,428.844,2.83853,3.9132,1.97619,0.00056,0.16667,0.00049,5e-05,4.14937,7.05857,3.67398,0.00033684,0.00033684,0.00033684
12,465.893,2.2447,3.76478,1.96174,0.00056,0.16667,0.00049,5e-05,3.88261,8.84609,3.48228,0.000359812,0.000359812,0.000359812
13,502.561,2.9973,3.71935,1.97312,0.00056,0.16667,0.00049,5e-05,3.59748,16.0185,3.32859,0.0003812,0.0003812,0.0003812
14,539.165,3.14902,3.87869,2.08672,0.00056,0.16667,0.00049,5e-05,3.39381,18.3858,3.56269,0.000401004,0.000401004,0.000401004
15,576.585,3.44557,4.04414,2.05852,0.00056,0.16667,0.00049,5e-05,3.31369,10.3885,3.62623,0.000419224,0.000419224,0.000419224
16,614.814,2.75711,3.54656,1.83086,0.00056,0.16667,0.00049,5e-05,3.43559,9.60533,3.55415,0.00043586,0.00043586,0.00043586
17,651.959,2.94301,3.58714,2.15224,0.00056,0.16667,0.00049,5e-05,3.31,9.8291,3.36817,0.000450912,0.000450912,0.000450912
18,688.891,2.91431,3.47045,1.93869,0.00056,0.16667,0.00049,5e-05,3.79317,8.77469,3.76793,0.00046438,0.00046438,0.00046438
19,726.292,3.01549,3.3611,2.06518,0.00056,0.16667,0.00049,5e-05,3.98405,11.6281,4.17792,0.000476264,0.000476264,0.000476264
20,763.057,2.84102,3.16885,1.93322,0.00056,0.16667,0.00049,5e-05,3.92039,8.59329,4.2315,0.000486564,0.000486564,0.000486564
21,800.186,2.74956,3.103,1.9322,0.00068,0.16667,0.00046,9e-05,3.80153,6.88548,4.36382,0.00049528,0.00049528,0.00049528
22,837.721,2.06356,2.29168,1.66749,0.00066,0.16667,0.00052,0.0001,4.15611,7.00307,5.08578,0.000502412,0.000502412,0.000502412
23,874.557,3.13514,2.84712,2.05091,0.00066,0.16667,0.00052,0.0001,4.22127,7.27431,5.14116,0.00050796,0.00050796,0.00050796
24,911.631,2.77351,3.12027,1.93259,0.00066,0.16667,0.00052,0.0001,4.17337,7.57247,4.34393,0.000511924,0.000511924,0.000511924
25,948.737,2.04957,2.63026,1.79665,0.00066,0.16667,0.00052,0.0001,4.07508,9.36678,4.32885,0.000514304,0.000514304,0.000514304
26,985.544,2.04303,3.08183,1.64673,0.00066,0.16667,0.00052,0.0001,4.19376,26.3769,3.94953,0.0005151,0.0005151,0.0005151
27,1022.39,2.40364,2.79496,1.83966,0.00066,0.16667,0.00052,0.0001,4.44367,10.0921,3.78988,0.000514312,0.000514312,0.000514312
28,1063.64,2.58675,2.9648,2.19487,0.00066,0.16667,0.00052,0.0001,4.44367,10.0921,3.78988,0.00051194,0.00051194,0.00051194
29,1736.66,2.39111,2.3053,1.78849,0.00066,0.16667,0.00052,0.0001,4.7185,7.09576,3.71715,0.000507984,0.000507984,0.000507984
